1ST CHOICE MAYOR MINNEAPOLIS,2ND CHOICE MAYOR MINNEAPOLIS,3RD CHOICE MAYOR MINNEAPOLIS
BETSY HODGES,BOB FINE,JACKIE CHERRYHOMES
JACKIE CHERRYHOMES,MARK ANDREW,undervote
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,CAM WINTON,STEPHANIE WOODRUFF
DAN COHEN,JACKIE CHERRYHOMES,MERRILL ANDERSON
DON SAMUELS,JACKIE CHERRYHOMES,BETSY HODGES
DON SAMUELS,BOB FINE,CAM WINTON
BETSY HODGES,DON SAMUELS,BOB FINE
CAM WINTON,MARK ANDREW,DON SAMUELS
BETSY HODGES,JACKIE CHERRYHOMES,MARK ANDREW
MARK ANDREW,DON SAMUELS,BETSY HODGES
BETSY HODGES,BOB FINE,STEPHANIE WOODRUFF
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,DON SAMUELS,BOB FINE
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,DOUG MANN,DON SAMUELS
DON SAMUELS,BETSY HODGES,MARK ANDREW
BETSY HODGES,undervote,undervote
JACKIE CHERRYHOMES,undervote,undervote
DON SAMUELS,BETSY HODGES,MARK ANDREW
DON SAMUELS,BETSY HODGES,MARK ANDREW
CAM WINTON,BETSY HODGES,CAPTAIN JACK SPARROW
MARK ANDREW,BETSY HODGES,undervote
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,DON SAMUELS,undervote
BETSY HODGES,MARK ANDREW,DON SAMUELS
JAMES EVERETT,STEPHANIE WOODRUFF,MARK ANDREW
MIKE GOULD,MARK ANDREW,STEPHANIE WOODRUFF
DON SAMUELS,BETSY HODGES,MARK ANDREW
undervote,undervote,undervote
BETSY HODGES,undervote,undervote
BETSY HODGES,BOB FINE,undervote
CAM WINTON,BETSY HODGES,DAN COHEN
BETSY HODGES,MARK V ANDERSON,undervote
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,ALICIA K. BENNETT,STEPHANIE WOODRUFF
JACKIE CHERRYHOMES,BETSY HODGES,DON SAMUELS
BETSY HODGES,CAPTAIN JACK SPARROW,CAPTAIN JACK SPARROW
DAN COHEN,CAM WINTON,MARK ANDREW
DON SAMUELS,JACKIE CHERRYHOMES,BOB FINE
CAM WINTON,DON SAMUELS,undervote
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
MARK ANDREW,BETSY HODGES,undervote
MARK ANDREW,JACKIE CHERRYHOMES,DON SAMUELS
DOUG MANN,undervote,undervote
MARK ANDREW,undervote,undervote
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,MARK ANDREW,CAM WINTON
UWI,UWI,UWI
BETSY HODGES,MARK ANDREW,undervote
BETSY HODGES,MARK ANDREW,DON SAMUELS
DON SAMUELS,BETSY HODGES,BOB FINE
CAM WINTON,undervote,undervote
STEPHANIE WOODRUFF,BOB FINE,JACKIE CHERRYHOMES
BETSY HODGES,DON SAMUELS,MARK ANDREW
DON SAMUELS,BETSY HODGES,BOB FINE
BETSY HODGES,JACKIE CHERRYHOMES,MARK ANDREW
